<<<<<<< HEAD
﻿Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
544395,135253,Uzziel,Valderrabano Chavez,MEX,39,00:14:42,00:00:40,01:04:31,00:00:37,00:43:16,41,,02:03:49
544395,124615,Cesar Humberto,Mancilla González,MEX,52,00:15:41,00:00:37,01:03:32,00:00:28,00:46:16,42,,02:06:36
544395,105472,David Alexander,Estrada Otero,MEX,36,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,-5,DNS,00:00:00
544395,6186,Irving,Perez,MEX,1,00:14:28,00:00:32,01:08:26,00:02:32,00:00:00,,DNF,00:00:00
544395,111961,Fernando,Martinez Roman,MEX,43,00:15:08,00:00:38,01:01:38,00:00:36,00:00:00,,DNF,00:00:00
544395,108773,Ricardo Quintero,Velázquez,MEX,38,00:16:05,00:00:39,01:09:10,00:00:31,00:00:00,,DNF,00:00:00
544395,84256,José Abraham,Estrada Sierra,MEX,45,00:00:00,00:00:21,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,47838,Edson,Gomez Ruiz,MEX,8,00:15:41,00:00:35,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,114763,Juan Jose,Hernandez,MEX,35,00:15:03,00:00:40,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,165194,Jesus Alejandro,Garcia Barcenas,MEX,44,00:15:20,00:00:38,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,165277,Jorge Silverio,Alvarez Solis,MEX,48,00:16:15,00:00:39,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,80423,Arturo,Mateos,MEX,51,00:14:30,00:00:40,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,124571,César,Ortega Cabral,MEX,54,00:14:47,00:00:43,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
=======
﻿Program ID,Athlete ID,Athlete First Name,Athlete Last Name,Country,Start Number,Swim,T1,Bike,T2,Run,Position,Status,Total Time
544395,12773,Rodrigo,Gonzalez,MEX,3,00:14:26,00:00:31,00:58:07,00:00:26,00:30:34,1,,01:44:06
544395,7503,Crisanto,Grajales,MEX,2,00:14:28,00:00:32,00:58:11,00:00:27,00:31:43,2,,01:45:23
544395,97115,Benjamin,Zorgnotti,TAH,19,00:14:28,00:00:32,00:58:09,00:00:27,00:32:25,3,,01:46:02
544395,96667,Chase,McQueen,USA,5,00:14:28,00:00:35,00:58:08,00:00:30,00:32:51,4,,01:46:34
544395,78712,Diego Alejandro,Lopez Acosta,MEX,18,00:14:28,00:00:32,00:58:13,00:00:29,00:32:58,5,,01:46:41
544395,124358,Erik Yamir,Ramos Croda,MEX,24,00:14:27,00:00:31,00:58:15,00:00:29,00:33:29,6,,01:47:14
544395,39560,Juan Jose,Andrade Figueroa,ECU,7,00:14:25,00:00:35,01:00:50,00:00:28,00:31:01,7,,01:47:21
544395,103530,Aram Michell,Peñaflor Moysen,MEX,4,00:14:28,00:00:34,01:00:44,00:00:28,00:31:25,8,,01:47:42
544395,69440,Diego Alfredo,Perez Flores,MEX,16,00:14:32,00:00:34,01:00:43,00:00:27,00:31:48,9,,01:48:06
544395,135381,Ricardo,Morales Vásquez,MEX,23,00:14:29,00:00:40,01:00:43,00:00:29,00:32:25,10,,01:48:47
544395,124356,Eduardo,Nuñez Gomez,MEX,28,00:14:27,00:00:36,01:00:49,00:00:32,00:32:36,11,,01:49:01
544395,108522,Jorge,Alarcon Familiar,MEX,21,00:14:27,00:00:38,01:00:38,00:00:26,00:32:55,12,,01:49:05
544395,22522,David,Mendoza,MEX,37,00:14:27,00:00:35,01:00:44,00:00:24,00:33:10,13,,01:49:21
544395,124579,Dylan Didier,Campa Carranza,MEX,32,00:14:29,00:00:37,01:00:40,00:00:31,00:33:11,14,,01:49:30
544395,83054,Leon,Pauger,AUT,11,00:15:04,00:00:34,01:00:09,00:00:28,00:33:41,15,,01:49:58
544395,49084,Lukas,Pertl,AUT,10,00:14:29,00:00:35,01:00:40,00:00:26,00:34:46,16,,01:50:58
544395,25854,Jose Luis,Cordova,MEX,25,00:14:31,00:00:36,01:00:36,00:00:27,00:35:08,17,,01:51:20
544395,25867,David,Nuñez,MEX,6,00:14:26,00:00:31,00:58:16,00:00:28,00:37:48,18,,01:51:31
544395,108438,Jesus Gildardo,Espiritu,MEX,22,00:14:33,00:00:37,01:02:16,00:00:32,00:33:47,19,,01:51:47
544395,77316,Jose Isaac,Valencia Villaverde,MEX,55,00:14:42,00:00:37,01:02:06,00:00:33,00:34:13,20,,01:52:13
544395,76404,Ivan Eduardo,Castro Garcia,MEX,15,00:14:29,00:00:39,01:02:06,00:00:39,00:34:25,21,,01:52:20
544395,74435,Philip,Pertl,AUT,14,00:14:31,00:00:41,01:02:16,00:00:29,00:34:27,22,,01:52:26
544395,98188,Brodie,Marshall,CAN,12,00:14:30,00:00:36,01:00:37,00:00:27,00:36:46,23,,01:53:00
544395,123904,David,Alvarado Chou,CRC,33,00:15:20,00:00:33,01:01:34,00:00:31,00:35:38,24,,01:53:37
544395,29388,Jorge Luis,Fuentes,MEX,31,00:15:42,00:00:35,01:00:59,00:00:34,00:36:38,25,,01:54:30
544395,103889,Alvaro,Campos Solano,CRC,17,00:14:29,00:00:36,01:00:44,00:00:28,00:38:22,26,,01:54:42
544395,129239,Cesar Isaac,Cardenas Torres,MEX,49,00:16:04,00:00:33,01:03:19,00:00:30,00:34:40,27,,01:55:10
544395,69734,Miguel Angel,Márquez Alemán,MEX,9,00:14:30,00:00:39,01:05:08,00:00:46,00:35:19,28,,01:56:24
544395,135354,Héctor Armando,Morales Rámirez,MEX,40,00:15:54,00:00:39,01:03:25,00:00:37,00:36:11,29,,01:56:47
544395,124610,Rene,Martinez Garcia,MEX,34,00:14:28,00:00:36,01:02:02,00:00:29,00:39:11,30,,01:56:48
544395,159132,Miguel Angel,Murillo De La Mora,MEX,53,00:16:00,00:00:39,01:03:08,00:00:30,00:37:24,31,,01:57:44
544395,69438,Eduardo,Padilla Vargas,MEX,30,00:14:33,00:00:37,01:04:43,00:00:55,00:36:54,32,,01:57:44
544395,165192,Andrés,Argüero Carsolio,MEX,57,00:15:45,00:00:40,01:03:29,00:00:36,00:37:36,33,,01:58:08
544395,93580,Sergio,Abundis Naranjo,MEX,29,00:14:56,00:00:37,01:01:56,00:00:36,00:40:23,34,,01:58:30
544395,158872,Brian Omar,Orozco,MEX,41,00:16:19,00:00:39,01:02:58,00:00:29,00:38:05,35,,01:58:31
544395,107783,Raul Alberto,Ruiz Valenzuela,MEX,20,00:14:30,00:00:42,01:08:13,00:00:33,00:35:30,36,,01:59:30
544395,119672,Nathan F.,Cohen,USA,27,00:15:59,00:00:35,01:03:15,00:00:28,00:39:42,37,,02:00:01
544395,165193,José Eduardo,Castaño López,MEX,56,00:15:42,00:00:35,01:07:45,00:00:36,00:35:53,38,,02:00:33
544395,128563,Victor Manuel,Maza Delgado,MEX,46,00:15:21,00:00:39,01:03:52,00:00:35,00:41:15,39,,02:01:44
544395,162475,Diego Adrián,Dávalos Carrillo,MEX,50,00:16:33,00:00:35,01:02:44,00:00:33,00:42:28,40,,02:02:55
544395,135253,Uzziel,Valderrabano Chavez,MEX,39,00:14:42,00:00:40,01:04:31,00:00:37,00:43:16,41,,02:03:49
544395,124615,Cesar Humberto,Mancilla González,MEX,52,00:15:41,00:00:37,01:03:32,00:00:28,00:46:16,42,,02:06:36
544395,105472,David Alexander,Estrada Otero,MEX,36,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,-5,DNS,00:00:00
544395,6186,Irving,Perez,MEX,1,00:14:28,00:00:32,01:08:26,00:02:32,00:00:00,,DNF,00:00:00
544395,111961,Fernando,Martinez Roman,MEX,43,00:15:08,00:00:38,01:01:38,00:00:36,00:00:00,,DNF,00:00:00
544395,108773,Ricardo Quintero,Velázquez,MEX,38,00:16:05,00:00:39,01:09:10,00:00:31,00:00:00,,DNF,00:00:00
544395,84256,José Abraham,Estrada Sierra,MEX,45,00:00:00,00:00:21,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,47838,Edson,Gomez Ruiz,MEX,8,00:15:41,00:00:35,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,114763,Juan Jose,Hernandez,MEX,35,00:15:03,00:00:40,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,165194,Jesus Alejandro,Garcia Barcenas,MEX,44,00:15:20,00:00:38,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,165277,Jorge Silverio,Alvarez Solis,MEX,48,00:16:15,00:00:39,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,80423,Arturo,Mateos,MEX,51,00:14:30,00:00:40,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
544395,124571,César,Ortega Cabral,MEX,54,00:14:47,00:00:43,00:00:00,00:00:00,00:00:00,,DNF,00:00:00
>>>>>>> d08f8da9ea3bfd4328d2d4474bb3730cbefdc1e8
